City,latitude,longitude,Pop_1980,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Crime_1980,Crime_1985,Crime_1990,Crime_1995,Crime_2000,Crime_2001,Crime_2002,Crime_2003,Crime_2004,Crime_2005
Chicago,42,-88,2986419,2998841,2783726,2749811,2896014,2910707,2938297,2898224,2882515,2873130,960,1949,2842,2550,1606,1533,1498,1300,1218,1196
Minneapolis,45,-93,370163,361021,368383,357709,382618,386726,390415,378602,376255,376277,1058,1422,89,1978,1151,1060,1056,1193,1256,1454
New Orleans,30,-90,557761,561364,496938,487179,484674,484289,486157,475128,471057,463072,1466,1465,2260,2233,1064,1214,938,968,949,451
Lansing,43,-85,125776,128161,122610,115807,114321,114924,115610,114048,113889,112171,584,830,1528,1419,1066,1177,1118,1070,1041,1252
Nashville,36,-87,452025,481286,499565,523681,553168,555059,560596,554888,555134,557034,804,702,1379,1790,1623,1632,1549,1502,1552,1613
Madison,43,-89,169641,171053,191262,196156,208054,209537,211061,216441,219898,221419,256,260,312,315,328,338,358,358,383,379
San Bernardino,34,-117,116852,134170,164164,182632,185401,188847,192212,193641,197611,199723,1625,1676,1286,2151,1135,1270,1292,1479,1333,1257
Oakland,38,-122,338721,362095,372242,368771,399484,406908,414161,407003,403445,400619,2225,1853,1571,1502,1261,1310,1367,1379,1277,1421
Indianapolis,40,-86,698753,471656,483549,373973,793778,798251,804034,800167,800589,800304,637,981,1288,1797,862,931,935,883,883,993
Springfield,37,-93,133019,137516,140494,151032,151576,152511,153671,151854,152188,151895,321,223,406,549,556,649,690,684,563,587
Albuquerque,35,-107,328837,357051,384736,419714,448607,451098,457488,468764,479074,490631,855,1150,1331,1129,1146,1166,1069,947,986,952
Stockton,38,-121,149603,176633,210943,223752,243771,248301,252727,265593,274598,281747,1095,884,1245,1425,1219,1327,1461,1365,1347,1491
Cleveland,41,-82,572657,546126,505616,495074,478403,479263,481274,468446,462260,458885,2003,1205,1818,1646,1263,1341,1323,1324,1300,1401
Rockford,42,-89,139211,136822,139426,144214,150115,150877,152307,151703,152446,153048,935,849,1102,1201,807,748,768,820,808,863
Milwaukee,43,-88,633845,621931,628100,622467,596974,601229,605600,594269,590874,586500,523,653,1001,1082,957,909,955,890,785,1028
Little Rock,35,-92,153831,170850,175795,180821,183133,184413,185646,185117,185870,185855,1537,1535,2054,2046,1030,1016,1299,1544,1640,1772
Memphis,35,-90,644957,654626,610337,623902,650100,655898,662441,653858,652526,678988,1070,1488,1489,1770,1480,1663,1573,1577,1547,1861
Baltimore ,39,-77,784554,771097,736014,712209,651154,660826,671028,644554,634279,641097,2112,2010,2438,3018,2458,2240,2055,1735,1840,1755
Detroit,42,-83,1197325,1090581,1027974,997297,951270,956283,961987,927766,914353,900932,1946,2377,2701,2409,2325,2191,2073,2019,1741,2361
St. Louis,39,-90,441780,420838,401207,413693,396599,399044,394307,398615,397436,395737,211,238,336,239,228,247,232,226,247,281
